,Open,High,Low,Close,Adj Close,Volume,Date
404,19.51,20.139999,19.26,19.59,19.59,33500.0,2019-02-20T00:00:00
405,19.629999,19.709999,19.07,19.450001,19.450001,4800.0,2019-02-21T00:00:00
406,19.15,20.0,19.15,19.99,19.99,7600.0,2019-02-22T00:00:00
407,20.059999,20.440001,19.82,20.02,20.02,26100.0,2019-02-25T00:00:00
408,19.98,19.98,19.08,19.200001,19.200001,10600.0,2019-02-26T00:00:00
409,19.200001,19.370001,19.030001,19.26,19.26,11300.0,2019-02-27T00:00:00
410,19.280001,19.889999,19.27,19.540001,19.540001,14800.0,2019-02-28T00:00:00
411,19.719999,19.98,19.25,19.25,19.25,12000.0,2019-03-01T00:00:00
412,19.889999,19.889999,19.15,19.59,19.59,10200.0,2019-03-04T00:00:00
413,19.540001,19.540001,19.219999,19.389999,19.389999,3800.0,2019-03-05T00:00:00
414,19.4,19.68,18.68,19.469999,19.469999,18600.0,2019-03-06T00:00:00
415,19.27,19.610001,19.0,19.309999,19.309999,17300.0,2019-03-07T00:00:00
416,19.299999,19.299999,19.120001,19.120001,19.120001,7700.0,2019-03-08T00:00:00
417,19.23,19.379999,19.0,19.23,19.23,16400.0,2019-03-11T00:00:00
418,19.18,19.860001,19.049999,19.110001,19.110001,4600.0,2019-03-12T00:00:00
419,19.27,19.639999,19.27,19.59,19.59,5800.0,2019-03-13T00:00:00
420,19.57,19.66,19.18,19.18,19.18,5500.0,2019-03-14T00:00:00
421,19.42,20.440001,18.98,20.440001,20.440001,59000.0,2019-03-15T00:00:00
422,20.309999,20.309999,19.09,19.09,19.09,26200.0,2019-03-18T00:00:00
423,19.040001,19.969999,18.4,19.139999,19.139999,60900.0,2019-03-19T00:00:00
424,19.23,19.290001,19.0,19.030001,19.030001,13700.0,2019-03-20T00:00:00
425,19.290001,19.290001,18.66,19.09,19.09,103200.0,2019-03-21T00:00:00
426,18.9,18.99,18.5,18.74,18.74,26200.0,2019-03-22T00:00:00
427,18.700001,18.75,18.559999,18.559999,18.559999,22600.0,2019-03-25T00:00:00
428,18.59,18.68,18.01,18.15,18.15,34000.0,2019-03-26T00:00:00
429,18.15,18.26,17.68,18.1,18.1,29900.0,2019-03-27T00:00:00
430,17.940001,18.200001,17.559999,18.0,18.0,27300.0,2019-03-28T00:00:00
431,18.26,18.65,18.129999,18.32,18.32,46200.0,2019-03-29T00:00:00
432,18.52,19.5,18.52,19.01,19.01,63900.0,2019-04-01T00:00:00
433,19.23,19.85,19.049999,19.700001,19.700001,41300.0,2019-04-02T00:00:00
434,19.85,19.950001,19.360001,19.540001,19.540001,26900.0,2019-04-03T00:00:00
435,19.24,19.879999,19.23,19.610001,19.610001,16900.0,2019-04-04T00:00:00
436,19.43,20.0,19.43,19.549999,19.549999,77600.0,2019-04-05T00:00:00
437,19.639999,19.950001,19.639999,19.93,19.93,21700.0,2019-04-08T00:00:00
438,19.75,19.98,19.209999,19.27,19.27,28500.0,2019-04-09T00:00:00
439,19.4,19.68,19.18,19.360001,19.360001,10700.0,2019-04-10T00:00:00
440,19.4,19.73,19.4,19.440001,19.440001,7900.0,2019-04-11T00:00:00
441,19.26,19.26,18.610001,18.799999,18.799999,29400.0,2019-04-12T00:00:00
442,18.9,19.440001,18.719999,18.85,18.85,22800.0,2019-04-15T00:00:00
443,18.93,18.98,18.719999,18.84,18.84,8100.0,2019-04-16T00:00:00
444,18.860001,19.1,18.5,19.030001,19.030001,32000.0,2019-04-17T00:00:00
445,18.84,19.1,18.57,19.1,19.1,27100.0,2019-04-18T00:00:00
446,19.0,19.280001,18.709999,18.940001,18.940001,14300.0,2019-04-22T00:00:00
447,18.98,19.780001,18.809999,19.4,19.4,31100.0,2019-04-23T00:00:00
448,19.389999,19.73,19.33,19.52,19.52,12300.0,2019-04-24T00:00:00
449,19.629999,19.700001,19.299999,19.700001,19.700001,15700.0,2019-04-25T00:00:00
450,19.549999,19.700001,19.459999,19.59,19.59,6000.0,2019-04-26T00:00:00
451,19.59,19.700001,19.59,19.700001,19.700001,3900.0,2019-04-29T00:00:00
452,19.690001,19.690001,18.809999,19.35,19.35,32300.0,2019-04-30T00:00:00
453,19.25,19.25,18.75,18.959999,18.959999,21500.0,2019-05-01T00:00:00
454,19.1,19.700001,18.959999,19.52,19.52,19500.0,2019-05-02T00:00:00
455,19.58,19.99,19.27,19.93,19.93,28800.0,2019-05-03T00:00:00
456,19.629999,20.25,19.629999,19.9,19.9,36100.0,2019-05-06T00:00:00
457,20.059999,20.25,19.700001,19.77,19.77,32400.0,2019-05-07T00:00:00
458,19.82,20.25,19.68,20.040001,20.040001,59500.0,2019-05-08T00:00:00
459,20.0,20.4,19.700001,20.25,20.25,41100.0,2019-05-09T00:00:00
460,20.23,20.23,19.74,19.98,19.98,101200.0,2019-05-10T00:00:00
461,19.65,20.0,19.360001,20.0,20.0,33700.0,2019-05-13T00:00:00
462,19.66,19.92,19.17,19.360001,19.360001,63400.0,2019-05-14T00:00:00
463,19.040001,19.959999,19.040001,19.370001,19.370001,61800.0,2019-05-15T00:00:00
464,19.48,19.950001,19.15,19.290001,19.290001,33800.0,2019-05-16T00:00:00
465,19.17,19.360001,19.049999,19.08,19.08,46300.0,2019-05-17T00:00:00
466,18.9,19.299999,18.52,18.74,18.74,67300.0,2019-05-20T00:00:00
467,18.799999,19.49,18.66,19.25,19.25,43300.0,2019-05-21T00:00:00
468,19.49,19.709999,19.25,19.59,19.59,107000.0,2019-05-22T00:00:00
469,19.540001,19.57,19.200001,19.5,19.5,26600.0,2019-05-23T00:00:00
470,19.549999,19.780001,18.780001,18.959999,18.959999,71800.0,2019-05-24T00:00:00
471,19.049999,19.700001,19.049999,19.25,19.25,120300.0,2019-05-28T00:00:00
472,19.07,19.469999,18.68,19.370001,19.370001,79600.0,2019-05-29T00:00:00
473,19.280001,19.459999,18.389999,18.5,18.5,45900.0,2019-05-30T00:00:00
474,18.549999,18.549999,17.530001,17.84,17.84,92500.0,2019-05-31T00:00:00
475,17.719999,17.959999,15.91,16.139999,16.139999,214600.0,2019-06-03T00:00:00
476,16.299999,16.75,15.75,15.82,15.82,108400.0,2019-06-04T00:00:00
477,16.25,16.25,14.86,15.77,15.77,198400.0,2019-06-05T00:00:00
478,16.0,16.01,14.14,14.41,14.41,160800.0,2019-06-06T00:00:00
479,14.61,15.39,13.95,14.24,14.24,247900.0,2019-06-07T00:00:00
480,14.21,14.66,13.62,13.75,13.75,146900.0,2019-06-10T00:00:00
481,13.8,14.89,13.36,14.52,14.52,227900.0,2019-06-11T00:00:00
482,14.5,14.84,13.93,14.71,14.71,108400.0,2019-06-12T00:00:00
483,14.74,15.13,14.02,15.03,15.03,124200.0,2019-06-13T00:00:00
484,15.28,16.75,15.07,16.110001,16.110001,194000.0,2019-06-14T00:00:00
485,16.219999,16.610001,16.049999,16.34,16.34,108200.0,2019-06-17T00:00:00
486,16.43,16.43,15.36,15.43,15.43,70300.0,2019-06-18T00:00:00
487,15.57,16.01,15.13,15.95,15.95,51500.0,2019-06-19T00:00:00
488,16.049999,16.799999,15.94,16.32,16.32,67800.0,2019-06-20T00:00:00
489,16.23,16.809999,15.16,16.040001,16.040001,215700.0,2019-06-21T00:00:00
490,15.9,16.58,15.69,16.01,16.01,68700.0,2019-06-24T00:00:00
491,16.059999,16.059999,15.75,15.81,15.81,35900.0,2019-06-25T00:00:00
492,15.63,15.98,15.59,15.74,15.74,39200.0,2019-06-26T00:00:00
493,15.74,16.360001,15.52,16.200001,16.200001,70800.0,2019-06-27T00:00:00
494,16.42,17.190001,16.07,16.709999,16.709999,393400.0,2019-06-28T00:00:00
495,16.809999,16.83,15.75,15.9,15.9,93500.0,2019-07-01T00:00:00
496,15.9,16.059999,15.75,15.88,15.88,116400.0,2019-07-02T00:00:00
497,15.97,15.97,15.56,15.82,15.82,75600.0,2019-07-03T00:00:00
498,15.82,16.41,15.03,15.84,15.84,71700.0,2019-07-05T00:00:00
499,15.83,15.9,14.82,15.19,15.19,66100.0,2019-07-08T00:00:00
500,15.16,15.34,14.63,14.9,14.9,83400.0,2019-07-09T00:00:00
501,15.01,15.3,14.6,14.83,14.83,67800.0,2019-07-10T00:00:00
502,14.74,15.6,14.55,15.09,15.09,43500.0,2019-07-11T00:00:00
503,15.15,15.57,15.08,15.16,15.16,36800.0,2019-07-12T00:00:00
504,15.11,15.11,14.55,14.84,14.84,77000.0,2019-07-15T00:00:00
505,14.87,15.55,14.87,15.2,15.2,44800.0,2019-07-16T00:00:00
506,15.4,15.44,15.03,15.31,15.31,21600.0,2019-07-17T00:00:00
507,15.35,15.67,15.14,15.32,15.32,24500.0,2019-07-18T00:00:00
508,15.25,15.48,14.88,15.33,15.33,26900.0,2019-07-19T00:00:00
509,15.42,15.49,15.09,15.28,15.28,21800.0,2019-07-22T00:00:00
510,15.39,15.39,14.82,15.0,15.0,27100.0,2019-07-23T00:00:00
511,15.07,15.37,14.88,15.04,15.04,92500.0,2019-07-24T00:00:00
512,15.11,15.2,14.82,14.9,14.9,56400.0,2019-07-25T00:00:00
513,15.09,15.22,14.74,14.76,14.76,40400.0,2019-07-26T00:00:00
514,14.83,15.29,14.68,15.12,15.12,42000.0,2019-07-29T00:00:00
515,15.1,15.48,14.91,15.3,15.3,36200.0,2019-07-30T00:00:00
516,15.29,16.120001,15.18,15.3,15.3,51200.0,2019-07-31T00:00:00
517,15.37,15.84,15.04,15.27,15.27,43200.0,2019-08-01T00:00:00
518,15.24,15.24,14.82,14.86,14.86,25300.0,2019-08-02T00:00:00
519,14.73,14.93,14.35,14.52,14.52,36100.0,2019-08-05T00:00:00
520,14.56,14.57,14.17,14.53,14.53,18200.0,2019-08-06T00:00:00
521,14.39,15.23,14.39,14.84,14.84,15800.0,2019-08-07T00:00:00
522,14.78,15.54,14.74,15.42,15.42,46200.0,2019-08-08T00:00:00
523,15.34,15.58,15.01,15.05,15.05,32800.0,2019-08-09T00:00:00
524,15.27,15.61,14.56,14.65,14.65,57300.0,2019-08-12T00:00:00
525,14.81,15.38,14.53,14.77,14.77,61800.0,2019-08-13T00:00:00
526,15.01,17.860001,15.01,16.16,16.16,249800.0,2019-08-14T00:00:00
527,16.200001,16.49,15.23,16.360001,16.360001,81800.0,2019-08-15T00:00:00
528,16.360001,16.610001,15.82,16.209999,16.209999,65900.0,2019-08-16T00:00:00
529,16.32,16.32,15.66,15.75,15.75,33600.0,2019-08-19T00:00:00
530,15.75,16.280001,15.53,15.75,15.75,41200.0,2019-08-20T00:00:00
531,15.85,16.360001,15.48,15.78,15.78,51200.0,2019-08-21T00:00:00
532,15.78,16.709999,15.54,16.59,16.59,67800.0,2019-08-22T00:00:00
533,16.51,17.01,16.02,16.77,16.77,69700.0,2019-08-23T00:00:00
534,16.639999,19.620001,16.639999,19.4,19.4,590900.0,2019-08-26T00:00:00
535,19.02,21.01,18.92,19.85,19.85,489400.0,2019-08-27T00:00:00
536,19.49,20.5,19.299999,20.41,20.41,176500.0,2019-08-28T00:00:00
537,20.440001,20.9,19.85,20.379999,20.379999,206200.0,2019-08-29T00:00:00
538,20.35,20.889999,19.51,19.58,19.58,156200.0,2019-08-30T00:00:00
539,19.610001,20.0,19.07,19.51,19.51,147900.0,2019-09-03T00:00:00
540,19.450001,20.450001,19.110001,19.129999,19.129999,147900.0,2019-09-04T00:00:00
541,19.190001,20.469999,19.139999,20.290001,20.290001,181800.0,2019-09-05T00:00:00
542,20.0,21.16,20.0,20.219999,20.219999,171200.0,2019-09-06T00:00:00
543,20.219999,21.18,19.49,20.17,20.17,165300.0,2019-09-09T00:00:00
544,20.280001,21.049999,20.030001,20.549999,20.549999,132500.0,2019-09-10T00:00:00
545,20.540001,21.48,19.870001,20.0,20.0,169400.0,2019-09-11T00:00:00
546,20.41,20.68,19.540001,19.969999,19.969999,99300.0,2019-09-12T00:00:00
547,20.07,20.530001,19.370001,19.469999,19.469999,99400.0,2019-09-13T00:00:00
548,19.469999,20.469999,19.469999,20.25,20.25,182600.0,2019-09-16T00:00:00
549,20.35,21.25,19.83,20.780001,20.780001,199600.0,2019-09-17T00:00:00
550,20.790001,21.41,20.52,20.77,20.77,158700.0,2019-09-18T00:00:00
551,20.83,21.389999,20.09,20.209999,20.209999,117100.0,2019-09-19T00:00:00
552,20.16,21.5,20.049999,21.41,21.41,2668200.0,2019-09-20T00:00:00
553,21.200001,23.26,20.85,21.0,21.0,364300.0,2019-09-23T00:00:00
554,21.040001,21.059999,19.299999,19.610001,19.610001,230300.0,2019-09-24T00:00:00
555,19.58,20.049999,19.370001,19.540001,19.540001,142200.0,2019-09-25T00:00:00
556,19.51,19.610001,18.24,18.690001,18.690001,157500.0,2019-09-26T00:00:00
557,18.75,18.790001,17.290001,17.66,17.66,254000.0,2019-09-27T00:00:00
558,17.6,17.879999,17.25,17.620001,17.620001,129300.0,2019-09-30T00:00:00
559,17.719999,17.84,17.030001,17.17,17.17,73200.0,2019-10-01T00:00:00
560,16.9,16.9,16.23,16.49,16.49,105000.0,2019-10-02T00:00:00
561,16.459999,16.620001,15.9,16.450001,16.450001,111700.0,2019-10-03T00:00:00
562,16.5,16.690001,16.34,16.5,16.5,139100.0,2019-10-04T00:00:00
563,16.52,16.52,15.75,15.83,15.83,112700.0,2019-10-07T00:00:00
564,15.78,15.95,13.02,14.47,14.47,3650600.0,2019-10-08T00:00:00
565,14.57,15.42,14.14,15.0,15.0,454200.0,2019-10-09T00:00:00
566,15.12,15.94,14.9,15.41,15.41,181500.0,2019-10-10T00:00:00
567,15.61,16.15,15.12,15.35,15.35,211400.0,2019-10-11T00:00:00
568,15.35,15.49,14.74,15.17,15.17,78100.0,2019-10-14T00:00:00
569,15.3,15.96,15.22,15.37,15.37,129300.0,2019-10-15T00:00:00
570,15.39,15.53,15.01,15.13,15.13,90100.0,2019-10-16T00:00:00
571,15.21,15.3,14.81,15.02,15.02,105100.0,2019-10-17T00:00:00
572,14.98,14.98,14.56,14.8,14.8,82000.0,2019-10-18T00:00:00
573,14.85,15.14,14.62,14.94,14.94,113200.0,2019-10-21T00:00:00
574,14.97,15.37,14.64,14.68,14.68,92400.0,2019-10-22T00:00:00
575,14.66,15.03,14.57,14.6,14.6,53300.0,2019-10-23T00:00:00
576,14.61,14.66,14.28,14.55,14.55,80300.0,2019-10-24T00:00:00
577,14.49,14.86,14.35,14.6,14.6,47100.0,2019-10-25T00:00:00
578,14.71,15.16,14.6,14.96,14.96,77000.0,2019-10-28T00:00:00
579,14.93,15.13,14.76,15.11,15.11,54400.0,2019-10-29T00:00:00
580,15.15,15.41,14.87,15.06,15.06,109100.0,2019-10-30T00:00:00
581,15.04,15.34,14.73,14.97,14.97,124200.0,2019-10-31T00:00:00
582,15.03,15.44,14.99,15.08,15.08,58300.0,2019-11-01T00:00:00
583,15.21,15.54,15.0,15.1,15.1,79900.0,2019-11-04T00:00:00
584,15.14,15.25,14.79,14.83,14.83,60700.0,2019-11-05T00:00:00
585,14.88,15.79,14.72,15.48,15.48,184700.0,2019-11-06T00:00:00
586,15.29,16.09,14.94,15.21,15.21,147500.0,2019-11-07T00:00:00
587,15.1,15.73,14.89,15.57,15.57,131300.0,2019-11-08T00:00:00
588,15.4,15.9,14.75,14.77,14.77,144200.0,2019-11-11T00:00:00
589,14.75,15.32,14.63,15.26,15.26,116900.0,2019-11-12T00:00:00
590,15.08,15.59,14.98,15.07,15.07,110200.0,2019-11-13T00:00:00
591,15.0,15.13,14.5,14.72,14.72,131300.0,2019-11-14T00:00:00
592,14.84,15.41,14.52,15.31,15.31,121000.0,2019-11-15T00:00:00
593,15.47,16.299999,15.39,16.299999,16.299999,138600.0,2019-11-18T00:00:00
594,16.280001,16.540001,15.85,16.17,16.17,144700.0,2019-11-19T00:00:00
595,16.129999,17.809999,15.9,17.540001,17.540001,390600.0,2019-11-20T00:00:00
596,17.620001,18.469999,17.5,18.370001,18.370001,177000.0,2019-11-21T00:00:00
597,18.4,18.58,17.09,17.17,17.17,175200.0,2019-11-22T00:00:00
598,17.309999,17.68,16.809999,17.57,17.57,157800.0,2019-11-25T00:00:00
599,17.52,18.35,17.52,17.950001,17.950001,149700.0,2019-11-26T00:00:00
600,17.91,18.440001,17.91,18.370001,18.370001,132600.0,2019-11-27T00:00:00
601,18.49,18.690001,18.26,18.27,18.27,97400.0,2019-11-29T00:00:00
602,18.280001,18.280001,17.719999,18.040001,18.040001,114200.0,2019-12-02T00:00:00
603,17.700001,18.639999,17.700001,18.370001,18.370001,153400.0,2019-12-03T00:00:00
604,18.540001,18.6,18.18,18.360001,18.360001,133200.0,2019-12-04T00:00:00
605,18.4,18.84,18.4,18.58,18.58,113200.0,2019-12-05T00:00:00
606,18.629999,19.139999,18.629999,19.01,19.01,234300.0,2019-12-06T00:00:00
607,19.0,19.0,16.67,16.83,16.83,318200.0,2019-12-09T00:00:00
608,16.860001,17.32,16.280001,17.190001,17.190001,197100.0,2019-12-10T00:00:00
609,17.200001,17.74,16.959999,17.639999,17.639999,133400.0,2019-12-11T00:00:00
610,17.610001,18.41,17.51,18.040001,18.040001,174300.0,2019-12-12T00:00:00
611,18.02,18.610001,17.9,18.290001,18.290001,214300.0,2019-12-13T00:00:00
612,18.34,19.1,18.299999,18.700001,18.700001,290100.0,2019-12-16T00:00:00
613,18.77,18.98,18.15,18.32,18.32,206800.0,2019-12-17T00:00:00
614,18.26,18.790001,18.139999,18.35,18.35,228800.0,2019-12-18T00:00:00
615,18.280001,18.99,18.059999,18.870001,18.870001,161600.0,2019-12-19T00:00:00
616,18.93,19.139999,18.549999,18.73,18.73,351900.0,2019-12-20T00:00:00
617,18.6,19.07,18.25,18.82,18.82,119900.0,2019-12-23T00:00:00
618,18.799999,19.25,18.59,19.15,19.15,126800.0,2019-12-24T00:00:00
619,19.16,19.299999,18.76,18.91,18.91,61800.0,2019-12-26T00:00:00
620,18.91,18.91,18.27,18.65,18.65,76300.0,2019-12-27T00:00:00
621,18.700001,18.700001,18.120001,18.48,18.48,68700.0,2019-12-30T00:00:00
622,18.370001,18.700001,18.370001,18.41,18.41,70000.0,2019-12-31T00:00:00
623,18.51,18.52,17.790001,18.219999,18.219999,80400.0,2020-01-02T00:00:00
624,18.02,18.25,17.870001,17.98,17.98,51200.0,2020-01-03T00:00:00
625,17.790001,18.07,17.67,18.0,18.0,73400.0,2020-01-06T00:00:00
626,17.98,18.110001,17.51,17.540001,17.540001,60500.0,2020-01-07T00:00:00
627,17.549999,17.629999,17.18,17.209999,17.209999,69200.0,2020-01-08T00:00:00
628,17.190001,17.540001,17.16,17.26,17.26,48100.0,2020-01-09T00:00:00
629,17.34,17.469999,17.07,17.43,17.43,47300.0,2020-01-10T00:00:00
630,17.299999,17.549999,16.780001,17.51,17.51,106900.0,2020-01-13T00:00:00
631,17.530001,18.049999,17.52,17.92,17.92,64300.0,2020-01-14T00:00:00
632,18.049999,18.620001,18.049999,18.25,18.25,74400.0,2020-01-15T00:00:00
633,18.5,18.700001,18.41,18.559999,18.559999,42800.0,2020-01-16T00:00:00
634,18.57,19.040001,18.440001,18.799999,18.799999,115600.0,2020-01-17T00:00:00
635,18.610001,18.82,18.200001,18.389999,18.389999,63400.0,2020-01-21T00:00:00
636,18.389999,18.93,18.290001,18.879999,18.879999,42500.0,2020-01-22T00:00:00
637,18.860001,18.860001,18.24,18.370001,18.370001,58300.0,2020-01-23T00:00:00
638,18.450001,18.49,17.889999,18.15,18.15,52300.0,2020-01-24T00:00:00
639,17.93,18.219999,17.790001,18.0,18.0,55400.0,2020-01-27T00:00:00
640,18.08,18.48,18.08,18.34,18.34,73300.0,2020-01-28T00:00:00
641,18.360001,18.360001,18.0,18.1,18.1,34000.0,2020-01-29T00:00:00
642,17.83,18.23,17.65,18.190001,18.190001,62400.0,2020-01-30T00:00:00
643,18.09,18.09,17.52,17.92,17.92,48500.0,2020-01-31T00:00:00
644,18.09,18.34,17.790001,18.280001,18.280001,50600.0,2020-02-03T00:00:00
645,18.469999,18.66,17.940001,18.0,18.0,47900.0,2020-02-04T00:00:00
646,18.23,18.440001,17.860001,18.41,18.41,36800.0,2020-02-05T00:00:00
647,18.41,18.49,18.24,18.34,18.34,22700.0,2020-02-06T00:00:00
648,18.26,18.860001,18.1,18.58,18.58,42300.0,2020-02-07T00:00:00
649,18.51,18.639999,18.360001,18.59,18.59,20800.0,2020-02-10T00:00:00
650,18.65,18.940001,18.459999,18.84,18.84,41800.0,2020-02-11T00:00:00
651,18.940001,19.1,17.9,17.98,17.98,142100.0,2020-02-12T00:00:00
652,17.620001,17.75,16.67,17.48,17.48,86200.0,2020-02-13T00:00:00
653,17.469999,17.790001,17.0,17.15,17.15,38700.0,2020-02-14T00:00:00
654,17.15,17.4,17.15,17.379999,17.379999,14100.0,2020-02-18T00:00:00
655,17.42,17.92,17.32,17.790001,17.790001,32900.0,2020-02-19T00:00:00
656,17.75,17.799999,17.370001,17.549999,17.549999,20700.0,2020-02-20T00:00:00
657,17.57,17.610001,17.15,17.49,17.49,16100.0,2020-02-21T00:00:00
658,17.01,17.23,16.889999,17.059999,17.059999,25400.0,2020-02-24T00:00:00
659,16.709999,17.57,16.709999,17.27,17.27,46000.0,2020-02-25T00:00:00
660,17.32,18.32,17.18,17.950001,17.950001,114500.0,2020-02-26T00:00:00
